BibliographyType,ISBN,Identifier,Author,Title,Journal,Volume,Number,Month,Pages,Year,Address,Note,URL,Booktitle,Chapter,Edition,Series,Editor,Publisher,ReportType,Howpublished,Institution,Organizations,School,Annote,Custom1,Custom2,Custom3,Custom4,Custom5
6,"978-1-60558-001-2","Jeong:2009:IBT:1595696.1595715","Jeong, Gaeul; Kim, Sunghun & Zimmermann, Thomas","Improving Bug Triage with Bug Tossing Graphs","",,,"","111--120",2009,"New York, NY, USA","","http://doi.acm.org/10.1145/1595696.1595715","Proceedings of the the 7th Joint Meeting of the European Software Engineering Conference and the ACM SIGSOFT Symposium on The Foundations of Software Engineering","","","ESEC/FSE '09","","ACM","","","","","","","","","bug report assignment, bug tossing, bug triage, issue tracking, machine learning, problem tracking","",""
6,"978-1-4503-2863-0","Klein:2014:NFD:2597073.2597090","Klein, Nathan; Corley, Christopher S. & Kraft, Nicholas A.","New Features for Duplicate Bug Detection","",,,"","324--327",2014,"New York, NY, USA","","http://doi.acm.org/10.1145/2597073.2597090","Proceedings of the 11th Working Conference on Mining Software Repositories","","","MSR 2014","","ACM","","","","","","","","","Duplicate bug reports, machine learning, topic model","",""
6,"978-1-60558-001-2","Knab:2009:SVA:1595696.1595746","Knab, Patrick; Knab, Patrick & Pinzger, Martin","Smart Views for Analyzing Problem Reports: Tool Demo","",,,"","289--290",2009,"New York, NY, USA","","http://doi.acm.org/10.1145/1595696.1595746","Proceedings of the the 7th Joint Meeting of the European Software Engineering Conference and the ACM SIGSOFT Symposium on The Foundations of Software Engineering","","","ESEC/FSE '09","","ACM","","","","","","","","","effort estimation, process metrics, visualization","",""
6,"978-1-4799-5482-7","Kochhar:2014:AFI:2680613.2680809","Kochhar, Pavneet Singh; Thung, Ferdian & Lo, David","Automatic Fine-Grained Issue Report Reclassification","",,,"","126--135",2014,"Washington, DC, USA","","http://dx.doi.org/10.1109/ICECCS.2014.25","Proceedings of the 2014 19th International Conference on Engineering of Complex Computer Systems","","","ICECCS '14","","IEEE Computer Society","","","","","","","","","Issue Reports, Fine-Grained, Reclassification","",""
6,"978-1-4503-3013-8","Kochhar:2014:PBB:2642937.2642997","Kochhar, Pavneet Singh; Tian, Yuan & Lo, David","Potential Biases in Bug Localization: Do They Matter?","",,,"","803--814",2014,"New York, NY, USA","","http://doi.acm.org/10.1145/2642937.2642997","Proceedings of the 29th ACM/IEEE International Conference on Automated Software Engineering","","","ASE '14","","ACM","","","","","","","","","bias, bug localization, empirical study, issue reports","",""
6,"","Koopaei:2015:CAD:2886444.2886474","Koopaei, Neda Ebrahimi & Hamou-Lhadj, Abdelwahab","CrashAutomata: An Approach for the Detection of Duplicate Crash Reports Based on Generalizable Automata","",,,"","201--210",2015,"Riverton, NJ, USA","","http://dl.acm.org/citation.cfm?id=2886444.2886474","Proceedings of the 25th Annual International Conference on Computer Science and Software Engineering","","","CASCON '15","","IBM Corp.","","","","","","","","","automata-based modeling, duplicate bug reports, mining bug repositories, software maintenance","",""
6,"0-7695-2703-5","Koponen:2006:EFO:1193212.1193822","Koponen, Timo","Evaluation Framework for Open Source Software Maintenance","",,,"","52--",2006,"Washington, DC, USA","","http://dx.doi.org/10.1109/ICSEA.2006.39","Proceedings of the International Conference on Software Engineering Advances","","","ICSEA '06","","IEEE Computer Society","","","","","","","","","Problem tracking, issue tracking, bug report, software modification, defect life cycle, metrics","",""
6,"978-1-4503-3552-2","Kshirsagar:2015:ITS:2818567.2818575","Kshirsagar, Aniruddha Prakash & Chandre, Pankaj R.","Issue Tracking System with Duplicate Issue Detection","",,,"","41--45",2015,"New York, NY, USA","","http://doi.acm.org/10.1145/2818567.2818575","Proceedings of the Sixth International Conference on Computer and Communication Technology 2015","","","ICCCT '15","","ACM","","","","","","","","","Duplicate detection, ITS, Issue, QAS, bugs","",""
6,"978-0-7695-4922-4","Lal:2012:CSB:2452575.2454415","Lal, Sangeeta & Sureka, Ashish","Comparison of Seven Bug Report Types: A Case-Study of Google Chrome Browser Project","",,,"","517--526",2012,"Washington, DC, USA","","http://dx.doi.org/10.1109/APSEC.2012.54","Proceedings of the 2012 19th Asia-Pacific Software Engineering Conference - Volume 01","","","APSEC '12","","IEEE Computer Society","","","","","","","","","Mining Software Repositories, Software Maintenance, Issue Tracking Systems, Mining Bug Archives","",""
6,"978-1-4503-2863-0","Lazar:2014:GDB:2597073.2597128","Lazar, Alina; Ritchey, Sarah & Sharif, Bonita","Generating Duplicate Bug Datasets","",,,"","392--395",2014,"New York, NY, USA","","http://doi.acm.org/10.1145/2597073.2597128","Proceedings of the 11th Working Conference on Mining Software Repositories","","","MSR 2014","","ACM","","","","","","","","","Data Repositories, Duplicate Bug Pairs, Duplicate Bug Reports","",""
6,"978-0-7695-4948-4","Lerch:2013:FDY:2495256.2495763","Lerch, Johannes & Mezini, Mira","Finding Duplicates of Your Yet Unwritten Bug Report","",,,"","69--78",2013,"Washington, DC, USA","","http://dx.doi.org/10.1109/CSMR.2013.17","Proceedings of the 2013 17th European Conference on Software Maintenance and Reengineering","","","CSMR '13","","IEEE Computer Society","","","","","","","","","stack trace, duplicate detection, bug report","",""
6,"978-1-4503-1614-9","Liu:2012:TBR:2393596.2393628","Liu, Kaiping; Tan, Hee Beng Kuan & Chandramohan, Mahinthan","Has This Bug Been Reported?","",,,"","28:1--28:4",2012,"New York, NY, USA","","http://doi.acm.org/10.1145/2393596.2393628","Proceedings of the ACM SIGSOFT 20th International Symposium on the Foundations of Software Engineering","","","FSE '12","","ACM","","","","","","","","","bug report, bug tracking system, duplicate, learning to rank, search engine, search quality","",""
6,"978-1-4673-1761-0","Lotufo:2012:TIB:2664446.2664448","Lotufo, Rafael; Passos, Leonardo & Czarnecki, Krzysztof","Towards Improving Bug Tracking Systems with Game Mechanisms","",,,"","2--11",2012,"Piscataway, NJ, USA","","http://dl.acm.org/citation.cfm?id=2664446.2664448","Proceedings of the 9th IEEE Working Conference on Mining Software Repositories","","","MSR '12","","IEEE Press","","","","","","","","","","",""
