"Key","Item Type","Publication Year","Author","Title","Publication Title","ISBN","ISSN","DOI","Url","Abstract Note","Date","Date Added","Date Modified","Access Date","Pages","Num Pages","Issue","Volume","Number Of Volumes","Journal Abbreviation","Short Title","Series","Series Number","Series Text","Series Title","Publisher","Place","Language","Rights","Type","Archive","Archive Location","Library Catalog","Call Number","Extra","Notes","File Attachments","Link Attachments","Manual Tags","Automatic Tags","Editor","Series Editor","Translator","Contributor","Attorney Agent","Book Author","Cast Member","Commenter","Composer","Cosponsor","Counsel","Interviewer","Producer","Recipient","Reviewed Author","Scriptwriter","Words By","Guest","Number","Edition","Running Time","Scale","Medium","Artwork Size","Filing Date","Application Number","Assignee","Issuing Authority","Country","Meeting Name","Conference Name","Court","References","Reporter","Legal Status","Priority Numbers","Programming Language","Version","System","Code","Code Number","Section","Session","Committee","History","Legislative Body"
"ITJIFTI5","journalArticle","2009","Chandra, Satish; Fink, Stephen J.; Sridharan, Manu","Snugglebug: A Powerful Approach to Weakest Preconditions","SIGPLAN Not.","","0362-1340","10.1145/1543135.1542517","http://doi.acm.org/10.1145/1543135.1542517","","2009-06","2016-03-14 21:40:15","2016-03-14 21:40:15","","363–374","","6","44","","","","","","","","","","","","","","","","","","","","","interprocedural analysis; symbolic analysis; weakest preconditions","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"BIFGC5AW","conferencePaper","2009","Chandra, Satish; Fink, Stephen J.; Sridharan, Manu","Snugglebug: A Powerful Approach to Weakest Preconditions","Proceedings of the 30th ACM SIGPLAN Conference on Programming Language Design and Implementation","978-1-60558-392-1","","10.1145/1542476.1542517","http://doi.acm.org/10.1145/1542476.1542517","","2009","2016-03-14 21:40:15","2016-03-14 21:40:15","","363–374","","","","","","","PLDI '09","","","","ACM","New York, NY, USA","","","","","","","","","","","","interprocedural analysis; symbolic analysis; weakest preconditions","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"F6MNBX5Z","conferencePaper","2012","Walker, Robert J.; Rawal, Shreya; Sillito, Jonathan","Do Crosscutting Concerns Cause Modularity Problems?","Proceedings of the ACM SIGSOFT 20th International Symposium on the Foundations of Software Engineering","978-1-4503-1614-9","","10.1145/2393596.2393654","http://doi.acm.org/10.1145/2393596.2393654","","2012","2016-03-14 21:40:15","2016-03-14 21:40:15","","49:1–49:11","","","","","","","FSE '12","","","","ACM","New York, NY, USA","","","","","","","","","","","","AOSD; MOZILLA; power laws; retroactive study; scattering","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"IRZJBJPP","conferencePaper","2008","Xu, Guoqing; Rountev, Atanas","Precise Memory Leak Detection for Java Software Using Container Profiling","Proceedings of the 30th International Conference on Software Engineering","978-1-60558-079-1","","10.1145/1368088.1368110","http://doi.acm.org/10.1145/1368088.1368110","","2008","2016-03-14 21:40:15","2016-03-14 21:40:15","","151–160","","","","","","","ICSE '08","","","","ACM","New York, NY, USA","","","","","","","","","","","","container profiling; leaking confidence; Memory leaks","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"RE6VHVGM","conferencePaper","2009","Bacon, David F.; Chen, Yiling; Parkes, David; Rao, Malvika","A Market-based Approach to Software Evolution","Proceedings of the 24th ACM SIGPLAN Conference Companion on Object Oriented Programming Systems Languages and Applications","978-1-60558-768-4","","10.1145/1639950.1640066","http://doi.acm.org/10.1145/1639950.1640066","","2009","2016-03-14 21:40:15","2016-03-14 21:40:15","","973–980","","","","","","","OOPSLA '09","","","","ACM","New York, NY, USA","","","","","","","","","","","","markets; mechanism design; software correctness","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"4P3FWSGP","journalArticle","2015","Kasikci, Baris; Zamfir, Cristian; Candea, George","Automated Classification of Data Races Under Both Strong and Weak Memory Models","ACM Trans. Program. Lang. Syst.","","0164-0925","10.1145/2734118","http://doi.acm.org/10.1145/2734118","","2015-05","2016-03-14 21:40:15","2016-03-14 21:40:15","","8:1–8:44","","3","37","","","","","","","","","","","","","","","","","","","","","concurrency; data races; symbolic execution; triage","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Z76EHSIV","conferencePaper","2012","Lucia; Lo, David; Jiang, Lingxiao; Budi, Aditya","Active Refinement of Clone Anomaly Reports","Proceedings of the 34th International Conference on Software Engineering","978-1-4673-1067-3","","","http://dl.acm.org/citation.cfm?id=2337223.2337270","","2012","2016-03-14 21:40:15","2016-03-14 21:40:15","","397–407","","","","","","","ICSE '12","","","","IEEE Press","Piscataway, NJ, USA","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"6KT7PUGC","conferencePaper","2008","Kondoh, Goh; Onodera, Tamiya","Finding Bugs in Java Native Interface Programs","Proceedings of the 2008 International Symposium on Software Testing and Analysis","978-1-60558-050-0","","10.1145/1390630.1390645","http://doi.acm.org/10.1145/1390630.1390645","","2008","2016-03-14 21:40:15","2016-03-14 21:40:15","","109–118","","","","","","","ISSTA '08","","","","ACM","New York, NY, USA","","","","","","","","","","","","java native interface; static analysis; typestate analysis","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"N99BE7D2","conferencePaper","2012","Shihab, Emad; Hassan, Ahmed E.; Adams, Bram; Jiang, Zhen Ming","An Industrial Study on the Risk of Software Changes","Proceedings of the ACM SIGSOFT 20th International Symposium on the Foundations of Software Engineering","978-1-4503-1614-9","","10.1145/2393596.2393670","http://doi.acm.org/10.1145/2393596.2393670","","2012","2016-03-14 21:40:15","2016-03-14 21:40:15","","62:1–62:11","","","","","","","FSE '12","","","","ACM","New York, NY, USA","","","","","","","","","","","","bug inducing changes; change metrics; change risk; Code Metrics","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"DC6QS89I","journalArticle","2010","Tichy, Walter","An Interview with Prof. Andreas Zeller: Mining Your Way to Software Reliability","Ubiquity","","1530-2180","10.1145/1880066.1883621","http://doi.acm.org/10.1145/1880066.1883621","","2010-11","2016-03-14 21:40:16","2016-03-14 21:40:16","","","","November","2010","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"T695FH56","conferencePaper","2014","Ki, Taeyeon; Munipalle, Satyaditya; Dantu, Karthik; Ko, Steven Y.; Ziarek, Lukasz","Poster: Retro: An Automated, Application-layer Record and Replay for Android","Proceedings of the 12th Annual International Conference on Mobile Systems, Applications, and Services","978-1-4503-2793-0","","10.1145/2594368.2601453","http://doi.acm.org/10.1145/2594368.2601453","","2014","2016-03-14 21:40:16","2016-03-14 21:40:16","","373–373","","","","","","","MobiSys '14","","","","ACM","New York, NY, USA","","","","","","","","","","","","android apps; Debugging; record&#38; replay","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
